mag_id	sample_description	fermented_food	specific_substrate	substrate_category	general_category	completeness	contamination	contigs	total_length	gc	n50	domain	phylum	class	order	family	genus	species	phylo_group	study_catalog	source
GCF_000498955.2_NMG01_genomic	cocoa bean heap fermentation	chocolate	cacao	fruit	chocolate	99.07	1.39	170	3275891	45.04	33724	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	Lactiplantibacillus fabifermentans	Firmicutes	Caffrey2024	NCBI
GCF_001435235.1_ASM143523v1_genomic	cocoa fermentation	chocolate	cacao	fruit	chocolate	99.48	1.35	24	2602462	37.08	241714	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus ghanensis	Firmicutes	Caffrey2024	NCBI
GCF_001436735.1_ASM143673v1_genomic	cocoa bean heap fermentation	chocolate	cacao	fruit	chocolate	99.48	0	12	1917585	33.86	269985	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus cacaonum	Firmicutes	Caffrey2024	NCBI
GCF_012396505.1_ASM1239650v1_genomic	spontaneous cocoa bean fermentations	chocolate	cacao	fruit	chocolate	99.46	0.14	25	1962451	36.41	134641	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Periweissella	Periweissella fabalis	Firmicutes	Caffrey2024	NCBI
GCF_918814575.1_ASM91881457v1_genomic	cocoa bean fermentation, ghana	chocolate	cacao	fruit	chocolate	99.18	0.41	19	1926695	38.07	201261	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Periweissella	Periweissella fabaria	Firmicutes	Caffrey2024	NCBI
GCF_918814755.1_ASM91881475v1_genomic	cocoa bean fermentation, ghana	chocolate	cacao	fruit	chocolate	98.91	0.68	66	1988014	39.56	59410	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Periweissella	Periweissella ghanensis	Firmicutes	Caffrey2024	NCBI
MAG_470	cocoa	cocoa	cacao_fruit_pulp_and_seeds	fruit	chocolate	85.69	1.76	21	1285705	44.65	88485	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Fructobacillus	Fructobacillus pseudoficulneus	Firmicutes	Du2023	NA
MAG_471	cocoa	cocoa	cacao_fruit_pulp_and_seeds	fruit	chocolate	82.03	0	38	2151297	64.88	74824	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Komagataeibacter	Komagataeibacter maltaceti	Proteobacteria	Du2023	NA
MAG_472	cocoa	cocoa	cacao_fruit_pulp_and_seeds	fruit	chocolate	94.84	5.64	291	3431943	61.67	16523	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Komagataeibacter	Komagataeibacter saccharivorans	Proteobacteria	Du2023	NA
MAG_473	cocoa	cocoa	cacao_fruit_pulp_and_seeds	fruit	chocolate	91.54	3.17	394	2601891	57.67	8394	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Kozakia	Kozakia baliensis	Proteobacteria	Du2023	NA
MAG_474	cocoa	cocoa	cacao_fruit_pulp_and_seeds	fruit	chocolate	94.88	2.14	100	1712385	33.77	62206	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus cacaonum	Firmicutes	Du2023	NA
MAG_475	cocoa	cocoa	cacao_fruit_pulp_and_seeds	fruit	chocolate	99.18	0	67	1869141	52.45	41742	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus fermentum	Firmicutes	Du2023	NA
MAG_476	cocoa	cocoa	cacao_fruit_pulp_and_seeds	fruit	chocolate	93.72	0.82	300	1853423	52.64	7782	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus fermentum	Firmicutes	Du2023	NA
MAG_477	cocoa	cocoa	cacao_fruit_pulp_and_seeds	fruit	chocolate	95.36	0.55	101	1738106	52.91	33780	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus fermentum	Firmicutes	Du2023	NA
MAG_478	cocoa	cocoa	cacao_fruit_pulp_and_seeds	fruit	chocolate	98.17	1.28	186	2294212	36.69	21463	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus nagelii	Firmicutes	Du2023	NA
MAG_479	cocoa	cocoa	cacao_fruit_pulp_and_seeds	fruit	chocolate	98.15	2.78	123	3087551	44.66	33841	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	Lactiplantibacillus plantarum	Firmicutes	Du2023	NA
MAG_480	cocoa	cocoa	cacao_fruit_pulp_and_seeds	fruit	chocolate	98.69	9.69	91	2182107	37.61	49879	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus vini	Firmicutes	Du2023	NA
MAG_481	cocoa	cocoa	cacao_fruit_pulp_and_seeds	fruit	chocolate	93.3	1.39	99	1938111	38.96	43551	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc pseudomesenteroides_A	Firmicutes	Du2023	NA
MAG_482	cocoa	cocoa	cacao_fruit_pulp_and_seeds	fruit	chocolate	96.41	0.64	229	4562076	64.09	32646	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	unknown63	Proteobacteria	Du2023	NA
LeechJ_xxxx__AF82__bin.12	attieke	attieke	cassava	tuber_root	fermented_cassava	50.92950455	0.815217391	156	793249	49.33	6082	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus_panis	Firmicutes	Carlino2024	LeechJ_xxxx__AF82
LeechJ_xxxx__AF82__bin.13	attieke	attieke	cassava	tuber_root	fermented_cassava	94.90428403	1.82436611	146	1711855	36.72	23735	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_SGB96951	Firmicutes	Carlino2024	LeechJ_xxxx__AF82
LeechJ_xxxx__AF82__bin.16	attieke	attieke	cassava	tuber_root	fermented_cassava	87.92376455	3.339517625	205	1814187	36.45	15630	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_helveticus	Firmicutes	Carlino2024	LeechJ_xxxx__AF82
LeechJ_xxxx__AF82__bin.18	attieke	attieke	cassava	tuber_root	fermented_cassava	93.02536232	2.309782609	123	1442486	54.4	16814	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus_pontis	Firmicutes	Carlino2024	LeechJ_xxxx__AF82
LeechJ_xxxx__AF82__bin.9	attieke	attieke	cassava	tuber_root	fermented_cassava	77.12468595	3.488749047	536	1919860	47.15	3941	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus_rhamnosus	Firmicutes	Carlino2024	LeechJ_xxxx__AF82
GCF_009184845.1_ASM918484v1_genomic	cassava sour starch fermentation	cassava	cassava	tuber_root	fermented_cassava	99.48	1.05	2	3458698	47.84	3395916	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus manihotivorans	Firmicutes	Caffrey2024	NCBI
